packageName,property,expected,actual,group
ch.ethz.rse.integration.tests.Test_Loop_Long_4,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Long_4,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Long_4,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Safe,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Safe,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Single_Iteration_2,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Unsafe,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Loop_Unused,NON_NEGATIVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nested_If,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nested_If_2,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nested_If_2,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nonterm_End,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nonterm_End_2,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nonterm_End_2,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Nonterm_Unreachable,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Overwrite_Numerical,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_If,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_If_2,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Ambiguous_Loop,FITS_IN_TROLLEY,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Assignment,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Independent,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Reassignment,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Pointer_Unused,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Arith,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Arith_2,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Double_Init,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Double_Init_2,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_IfAlt,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Independent,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Independent_2,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Independent_3,FITS_IN_RESERVE,UNSAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Independent_4,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Simple_Alternative,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Unreach_Call,FITS_IN_RESERVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Reserve_Unreach_Init,FITS_IN_RESERVE,SAFE,UNSAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Short_Loop,NON_NEGATIVE,SAFE,SAFE,garbage-collectors
ch.ethz.rse.integration.tests.Test_Short_Loop,FITS_IN_TROLLEY,SAFE,SAFE,garbage-collectors
